tokens,contributions
1,0.1
2,0.0
3,2.0
4,2.0
5,2.0
6,0.1
7,0.0
8,0.2
9,0.1
10,0.1
11,2.0
12,0.0
13,0.1
14,0.1
15,1.0
16,1.6
17,0.1
18,0.1
19,1.0
20,0.75
21,2.0
22,2.0
23,0.1
24,0.6
25,2.0
26,0.1
27,0.1
28,2.0
29,2.0
30,0.5
31,1.5
32,0.25
33,2.0
34,0.1
35,0.1
36,0.1
37,0.1
38,0.0
39,2.0
40,0.1
41,0.1
42,1.0
43,2.0
44,0.1
45,0.1
46,0.1
47,0.1
48,2.0
49,0.1
50,0.1
51,0.1
52,0.1
53,0.1
54,0.1
55,0.1
56,0.1
57,2.0
58,0.1
59,1.15
60,0.2
61,0.1
62,2.0
63,0.3
64,0.35
65,0.1
66,2.0
67,0.1
68,0.1
69,0.45
70,0.1
71,0.0
72,0.2
73,2.0
74,0.0
75,0.1
76,0.1
77,0.1
78,0.0
79,0.1
80,1.0
81,0.1
82,0.1
83,1.0
84,0.1
85,0.1
86,0.1
87,2.0
88,0.15
89,0.15
90,0.15
91,0.1
92,0.1
93,0.15
94,0.15
95,0.4
96,0.15
97,0.1
98,2.0
99,0.1
100,0.15
101,0.15
102,0.12
103,0.12
104,0.1
105,0.12
106,0.11
107,0.11
108,0.11
109,0.1
110,0.11
111,0.121
112,0.13
113,0.1132
114,0.11
115,0.1
116,0.106
117,0.0
118,0.103
119,0.154
120,0.1
121,0.11111
122,0.1106
123,0.118
124,0.1
125,2.0
126,0.1
127,0.11
128,0.2
129,0.1
130,0.1064
131,2.0
132,0.1
133,0.1
134,2.0
135,0.1
136,0.1
137,0.1
138,0.1
139,0.1
140,0.1
141,0.1
142,0.1
143,0.1
144,0.11
145,0.1
146,0.1
147,0.101
148,0.1
149,0.1
150,0.1
151,0.1
152,0.1
153,0.1101
154,0.1
155,0.102
156,0.11
157,0.1
158,0.1
159,0.1
160,0.1
161,0.1
162,0.1
163,1.0
164,1.0
165,0.1
166,0.0
167,0.1
168,0.1
169,0.12
170,0.1
171,0.8
172,0.2
173,0.0
174,0.1
175,0.1
176,0.1
177,1.1
178,0.101
179,0.4
180,0.4
181,0.2
182,2.0
183,0.1
184,0.1
185,0.1
186,0.0
187,0.35
188,0.1
189,2.0
190,1.0
191,0.1
192,0.22
193,0.1
194,1.0
195,1.05
196,0.5
197,0.0
198,0.2
199,0.5
200,0.25
201,0.2
202,0.0
203,2.0
204,2.0
205,2.0
206,2.0
207,2.0
208,0.0
209,0.5
210,0.0
211,0.1
212,0.5
213,0.0
214,0.2
215,0.0
216,0.15
217,0.1
218,0.0
219,0.0
220,0.0
221,0.1
222,2.0
223,2.0
224,0.1
225,0.0
226,2.0
227,2.0
228,2.0
229,0.1
230,0.1
231,0.1
232,0.1
233,0.1
234,0.1
235,0.0
236,1.0
237,0.1
238,0.1
239,0.1
240,2.0
241,0.1
242,0.1
243,0.1
244,0.1
245,0.3
246,0.1
247,0.1
248,0.0
249,2.0
250,0.1
251,2.0
252,0.1
253,0.1
254,0.1
255,2.0
256,2.0
257,0.1
258,0.12
259,0.1
260,0.4
261,0.8
262,2.0
263,0.1
264,1.0
265,0.4
266,0.5
267,0.4
268,1.51
269,0.13
270,0.13
271,0.13
272,0.22
273,0.1
274,0.1
275,0.1
276,0.1
277,2.0
278,0.1
279,0.1
280,0.1
281,0.1
282,2.0
283,0.1
284,2.0
285,0.1
286,1.5
287,0.1
288,2.0
289,2.0
290,1.1
291,2.0
292,0.11
293,0.1
294,0.1
295,0.1
296,1.95
297,0.1
298,0.4
299,0.1
300,0.2
301,0.3
302,0.1
303,0.1
304,0.1
305,0.1
306,0.1
307,0.13
308,2.0
309,2.0
310,2.0
311,0.1
312,0.5
313,0.5
314,1.0
315,0.1
316,0.12
317,0.0
318,0.1
319,2.0
320,1.0
321,0.1
322,1.9
323,2.0
324,2.0
325,2.0
326,0.1
327,0.1
328,2.0
329,1.0
330,2.0
331,2.0
332,2.0
333,2.0
334,0.0
335,0.6
336,0.0
337,2.0
338,0.0
339,2.0
340,2.0
341,2.0
342,2.0
343,2.0
344,2.0
345,0.1
346,2.0
347,0.5
348,1.0
349,0.1
350,0.1
351,0.5
352,2.0
353,1.0
354,2.0
355,1.6
356,1.0
357,0.1
358,2.0
359,1.0
360,0.1
361,1.0
362,1.7
363,0.1
364,0.65
365,0.1
366,0.2
367,0.74
368,0.1
369,0.1
370,0.2
371,0.1
372,0.1
373,0.1
374,0.1
375,0.1
376,2.0
377,0.1
378,0.1
379,0.1
380,0.1
381,1.7
382,2.0
383,0.1
384,0.1
385,0.1
386,0.1
387,0.1
388,0.1
389,0.1
390,0.1
391,0.1
392,0.1
393,2.0
394,1.0
395,0.1
396,2.0
397,0.0
398,2.0
399,0.0
400,2.0
401,0.0
402,2.0
403,0.1
404,2.0
405,0.1
406,0.1
407,0.32
408,0.33
409,0.1
410,0.1
411,0.1
412,0.1
413,0.1
414,2.0
415,0.1
416,2.0
417,0.1
418,2.0
419,0.5
420,0.5
421,1.0
422,2.0
423,1.0
424,0.2
425,2.0
426,0.25
427,0.15
428,2.0
429,2.0
430,2.0
431,2.0
432,0.5
433,1.0
434,2.0
435,1.0
436,1.0
437,0.1
438,0.1
439,2.0
440,0.1
441,2.0
442,0.5
443,0.1
444,0.1
445,0.25
446,0.1
447,0.1
448,2.0
449,1.5
450,0.1
451,0.1
452,2.0
453,2.0
454,2.0
455,0.1
456,2.0
457,2.0
458,0.1
459,2.0
460,0.1
